"Burkina Faso","1297.0","12.0","55.0","","1034.0","208.0","","62.0","3.0","","","2.0976858E7","5.05%","","169.0","197.0","58.0","","","Burkina Faso"
"Burundi","422.0","","1.0","","336.0","85.0","","35.0","0.08","19993.0","1675.0","1.1935821E7","0.30%","186.0","190.0","205.0","190.0","","","Burundi"
"CAR","4679.0","","61.0","","1755.0","2863.0","2.0","967.0","13.0","30775.0","6357.0","4840968.0","3.36%","166.0","130.0","121.0","91.0","","","CAR"
"Cabo Verde","3368.0","47.0","37.0","1.0","2462.0","869.0","","6049.0","66.0","73900.0","132720.0","556812.0","1.48%","36.0","67.0","42.0","157.0","","","Cabo Verde"
"Cambodia","273.0","","","","253.0","20.0","1.0","16.0","","83626.0","4993.0","1.6750228E7","","172.0","","210.0","","","","Cambodia"
"Cameroon","18762.0","138.0","408.0","2.0","16540.0","1814.0","30.0","705.0","15.0","149000.0","5595.0","2.6631541E7","2.41%","170.0","125.0","133.0","128.0","","","Cameroon"
"Canada","123873.0","383.0","9054.0","5.0","110288.0","4531.0","61.0","3278.0","240.0","4974215.0","131636.0","3.7787666E7","7.59%","37.0","26.0","76.0","34.0","","","Canada"
"Caribbean Netherlands","13.0","","","","7.0","6.0","","495.0","","424.0","16149.0","26256.0","","136.0","","151.0","","","","Caribbean Netherlands"
"Cayman Islands","205.0","","1.0","","202.0","2.0","","3114.0","15.0","33978.0","516171.0","65827.0","0.49%","11.0","125.0","78.0","187.0","","","Cayman Islands"
"Chad","972.0","1.0","76.0","","869.0","27.0","","59.0","5.0","","","1.6486068E7","8.04%","","155.0","199.0","30.0","","","Chad"
"Channel Islands","613.0","","48.0","","545.0","20.0","","3521.0","276.0","68985.0","396276.0","174083.0","8.09%","12.0","23.0","69.0","29.0","","","Channel Islands"
"Chile","391849.0","1812.0","10671.0","93.0","366063.0","15115.0","1077.0","20474.0","558.0","2113632.0","110437.0","1.9138783E7","2.83%","48.0","9.0","5.0","110.0","","","Chile"
"China","84895.0","7.0","4634.0","","79745.0","516.0","24.0","59.0","3.0","9.041E7","62814.0","1.439323776E9","5.49%","77.0","169.0","199.0","52.0","","","China"
"Colombia","513719.0","11541.0","16183.0","204.0","339124.0","158412.0","1493.0","10081.0","318.0","2374898.0","46606.0","5.0956995E7","4.55%","91.0","20.0","21.0","65.0","","","Colombia"
"Comoros","417.0","11.0","7.0","","396.0","14.0","","478.0","8.0","","","872036.0","1.74%","","141.0","152.0","149.0","","","Comoros"
"Congo","3850.0","","77.0","","1625.0","2148.0","","695.0","14.0","","","5535717.0","4.52%","","128.0","136.0","67.0","","","Congo"
"Costa Rica","31075.0","666.0","333.0","12.0","9939.0","20803.0","128.0","6093.0","65.0","126337.0","24769.0","5100508.0","3.24%","121.0","69.0","41.0","94.0","","","Costa Rica"
"Country","","","","","","","","","","","","","Death_in_Closed_Cases","","","","","","","Country"
"Croatia","7329.0","255.0","168.0","","5472.0","1689.0","13.0","1787.0","41.0","144521.0","35235.0","4101613.0","2.98%","107.0","86.0","94.0","103.0","","","Croatia"
"Cuba","3565.0","83.0","88.0","","2894.0","583.0","3.0","315.0","8.0","346439.0","30589.0","1.1325635E7","2.95%","115.0","141.0","164.0","106.0","","","Cuba"
"Curaça","36.0","","1.0","","31.0","4.0","","219.0","6.0","1080.0","6578.0","164187.0","3.13%","165.0","148.0","176.0","99.0","","","Curaça"
"Cyprus","1395.0","10.0","20.0","","878.0","497.0","5.0","1154.0","17.0","263943.0","218392.0","1208574.0","2.23%","21.0","118.0","113.0","133.0","","","Cyprus"
"Czechia","21045.0","247.0","406.0","2.0","15886.0","4753.0","24.0","1965.0","38.0","820151.0","76565.0","1.0711777E7","2.49%","64.0","88.0","91.0","120.0","","","Czechia"
"DRC","9757.0","16.0","247.0","1.0","8895.0","615.0","","109.0","3.0","","","8.9906805E7","2.70%","","169.0","190.0","114.0","","","DRC"
"Denmark","16056.0","116.0","621.0","","13769.0","1666.0","1.0","2771.0","107.0","2075156.0","358091.0","5795057.0","4.32%","14.0","50.0","81.0","77.0","","","Denmark"
"Diamond Princess","712.0","","13.0","","651.0","48.0","4.0","","","","","","1.96%","","","","142.0","","","Diamond Princess"
"Djibouti","5374.0","","59.0","","5216.0","99.0","","5429.0","60.0","63471.0","64116.0","989936.0","1.12%","73.0","72.0","48.0","166.0","","","Djibouti"
"Dominica","18.0","","","","18.0","0.0","","250.0","","1646.0","22858.0","72011.0","","126.0","","171.0","","","","Dominica"
"Dominican Republic","89010.0","883.0","1505.0","4.0","57734.0","29771.0","288.0","8194.0","139.0","335478.0","30883.0","1.0862806E7","2.54%","114.0","43.0","28.0","116.0","","","Dominican Republic"
"Ecuador","105508.0","1033.0","6200.0","54.0","87660.0","11648.0","331.0","5968.0","351.0","297376.0","16821.0","1.7679078E7","6.61%","134.0","19.0","44.0","40.0","","","Ecuador"
"Egypt","97025.0","111.0","5212.0","15.0","63462.0","28351.0","41.0","946.0","51.0","135000.0","1316.0","1.02590466E8","7.59%","189.0","78.0","124.0","33.0","","","Egypt"
"El Salvador","23964.0","247.0","640.0","7.0","11558.0","11766.0","391.0","3692.0","99.0","288307.0","44418.0","6490763.0","5.25%","96.0","55.0","66.0","57.0","","","El Salvador"
"Equatorial Guinea","4892.0","","83.0","","2713.0","2096.0","","3473.0","59.0","49215.0","34935.0","1408774.0","2.97%","109.0","74.0","72.0","105.0","","","Equatorial Guinea"
"Eritrea","306.0","2.0","","","274.0","32.0","","86.0","","","","3553053.0","","","","193.0","","","","Eritrea"
"Estonia","2227.0","20.0","63.0","","2009.0","155.0","","1679.0","47.0","138166.0","104146.0","1326661.0","3.04%","51.0","83.0","96.0","100.0","","","Estonia"
"Eswatini","4110.0","52.0","81.0","2.0","2643.0","1386.0","11.0","3538.0","70.0","28380.0","24427.0","1161807.0","2.97%","122.0","64.0","68.0","104.0","","","Eswatini"
"Ethiopia","35836.0","1778.0","620.0","20.0","13536.0","21680.0","216.0","311.0","5.0","694093.0","6018.0","1.15332992E8","4.38%","168.0","155.0","165.0","73.0","","","Ethiopia"
"Faeroe Islands","383.0","1.0","","","274.0","109.0","3.0","7834.0","","80312.0","1642742.0","48889.0","","2.0","","31.0","","","","Faeroe Islands"
"Falkland Islands","13.0","","","","13.0","0.0","","3722.0","","2256.0","645863.0","3493.0","","6.0","","65.0","","","","Falkland Islands"
"Fiji","28.0","","1.0","","20.0","7.0","","31.0","1.0","6693.0","7459.0","897343.0","4.76%","160.0","177.0","206.0","63.0","","","Fiji"
"Finland","7842.0","37.0","334.0","","7100.0","408.0","","1415.0","60.0","517936.0","93458.0","5541933.0","4.49%","55.0","72.0","104.0","69.0","","","Finland"
"France","229814.0","4771.0","30480.0","12.0","84065.0","115269.0","384.0","3520.0","467.0","6000000.0","91892.0","6.5293815E7","26.61%","56.0","12.0","70.0","8.0","","","France"
"French Guiana","8743.0","32.0","54.0","","8189.0","500.0","17.0","29174.0","180.0","48382.0","161444.0","299682.0","0.66%","31.0","33.0","2.0","181.0","","","French Guiana"
"French Polynesia","211.0","","","","68.0","143.0","2.0","751.0","","9912.0","35257.0","281134.0","","106.0","","131.0","","","","French Polynesia"
"Gabon","8319.0","","53.0","","6614.0","1652.0","1.0","3726.0","24.0","104420.0","46771.0","2232578.0","0.79%","90.0","104.0","64.0","173.0","","","Gabon"
"Gambia","2401.0","113.0","81.0","4.0","435.0","1885.0","","990.0","33.0","10781.0","4445.0","2425361.0","15.70%","174.0","94.0","119.0","10.0","","","Gambia"
"Georgia","1370.0","9.0","17.0","","1108.0","245.0","","344.0","4.0","315142.0","79021.0","3988076.0","1.51%","61.0","162.0","159.0","155.0","","","Georgia"
"Germany","231284.0","1584.0","9324.0","10.0","204800.0","17160.0","231.0","2759.0","111.0","1.0197366E7","121656.0","8.3821481E7","4.35%","43.0","48.0","83.0","75.0","","","Germany"
"Ghana","43260.0","166.0","261.0","5.0","41276.0","1723.0","5.0","1388.0","8.0","431272.0","13841.0","3.1158344E7","0.63%","141.0","141.0","106.0","184.0","","","Ghana"
"Gibraltar","229.0","6.0","","","200.0","29.0","","6797.0","","28366.0","841971.0","33690.0","","5.0","","35.0","","","","Gibraltar"
"Greece","7934.0","250.0","235.0","","3804.0","3895.0","30.0","762.0","23.0","816450.0","78386.0","1.0415735E7","5.82%","62.0","107.0","130.0","47.0","","","Greece"
"Greenland","14.0","","","","14.0","0.0","","247.0","","6446.0","113518.0","56784.0","","45.0","","172.0","","","","Greenland"
"Grenada","24.0","","","","24.0","0.0","","213.0","","6252.0","55526.0","112596.0","","84.0","","178.0","","","","Grenada"
"Guadeloupe","510.0","","15.0","","289.0","206.0","2.0","1275.0","37.0","23585.0","58943.0","400134.0","4.93%","81.0","89.0","111.0","60.0","","","Guadeloupe"
"Guatemala","65983.0","1102.0","2506.0","39.0","54351.0","9126.0","5.0","3674.0","140.0","213204.0","11871.0","1.7959594E7","4.41%","146.0","42.0","67.0","72.0","","","Guatemala"
"Guinea","8876.0","84.0","53.0","","7628.0","1195.0","24.0","674.0","4.0","16975.0","1288.0","1.317858E7","0.69%","190.0","162.0","137.0","180.0","","","Guinea"
